InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,Cloud-services-category,Uses EC2,Uses EBS,instanceType,instanceCount,instanceFamily,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed,totalVcpus,totalMemory-GiB,ebsStorage-GiB,s3Storage-GiB,backupStorage-GiB,efsStorage-GiB,fsxStorage-GiB
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-EU-AWS-In-Bytes,,24273168526.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from EU (Ireland),01-08-2023 00:00,31-08-2023 23:59,0.02093916,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonRDS,Amazon Relational Database Service,Amazon Internet Services Pvt Ltd,APS3-Multi-AZUsage:db.m6g.large,CreateDBInstance:0014,26635560429.0,$ 0.452 per RDS db.m6g.large Multi-AZ instance hour (or partial hour) running PostgreSQL,01-08-2023 00:00,16-08-2023 19:32,527.099024,,USD,209.658908,0.0,37.738583,GST,247.397491,Paas-with-IaaS,Yes,No,db.m6g.large,1.0,Storage Optimized,8.0,2.0,,,,,,2.0,8.0,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-MEC1-AWS-Out-Bytes,,24273168208.0,USD0.086 per GB for  in Middle East (UAE),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSQueueService,Amazon Simple Queue Service,Amazon Internet Services Pvt Ltd,APS3-Requests-Tier1,,24236311895.0,$0.40 per million Amazon SQS standard requests in Tier1 in Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,27182935.0,,USD,9.568393,0.0,1.719993,GST,11.288386,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,awskms,AWS Key Management Service,Amazon Internet Services Pvt Ltd,ap-south-1-KMS-Requests,,24236309914.0,$0.03 per 10000 KMS requests in Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,53993134.0,,USD,142.541874,0.0,25.653114,GST,168.194988,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-AFS1-AWS-Out-Bytes,,24273168779.0,USD 0.086 per GB for EUN1-AWS-Out-Bytes in Africa (Cape Town),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonSES,Amazon Simple Email Service,Amazon Internet Services Pvt Ltd,APS3-Recipients-EC2,Send,26618718807.0,USD0.0 per Count for Recipients-EC2:Send usage in Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,505.0,,USD,0.0,0.0,0.0,,0.0,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonAthena,Amazon Athena,Amazon Internet Services Pvt Ltd,APS3-DataScannedInTB,,25219365402.0,5.00 USD per Terabytes for DataScannedInTB in Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,3.290516,,USD,14.47827,0.0,2.61,GST,17.08827,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonS3,Amazon Simple Storage Service,Amazon Internet Services Pvt Ltd,APS3-Retrieval-SIA,,24272223324.0,$0.01 per GB - flat fee for all bytes retrieved in Standard-Infrequent Access,01-08-2023 00:00,31-08-2023 23:59,4114.847397,,USD,36.210657,0.0,6.518091,GST,42.728748,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-LAS1-AWS-In-Bytes,,24273168580.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US West (Las Vegas),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-EUW3-AWS-In-Bytes,,24273168492.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from EU (Paris),01-08-2023 00:00,31-08-2023 23:59,0.00013583,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonDynamoDB,Amazon DynamoDB,Amazon Internet Services Pvt Ltd,APS3-Streams-Requests,GetRecords,24236590423.0,$0.000000228 per DynamoDB Streams read request unit beyond free tier (Asia Pacific (India)),01-08-2023 00:00,31-08-2023 23:59,5356462.0,,USD,1.07472,0.0,0.193298,GST,1.268018,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSCloudTrail,AWS CloudTrail,Amazon Internet Services Pvt Ltd,APS3-FreeEventsRecorded,,24236339229.0,0.0 per free event recorded in Asia Pacific (Mumbai) region,01-08-2023 00:00,31-08-2023 23:59,65025705.0,,USD,0.0,0.0,0.0,,0.0,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonRDS,Amazon Relational Database Service,Amazon Internet Services Pvt Ltd,APS3:PI_API,,26634813943.0,"$0.00 per request - first 1,000,000 API requests",01-08-2023 00:00,31-08-2023 23:59,257179.0,,USD,0.0,0.0,0.0,,0.0,Paas-with-IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-MIA1-AWS-In-Bytes,,24273168621.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East(Miami),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonRDS,Amazon Relational Database Service,Amazon Internet Services Pvt Ltd,APS3-RDS:ChargedBackupUsage,CreateDBInstance:0014,26635560466.0,$0.095 per additional GB-month of backup storage exceeding free allocation running PostgreSQL,01-08-2023 00:00,31-08-2023 23:59,3653.874758,,USD,305.46393,0.0,54.983375,GST,360.447305,Paas-with-IaaS,No,No,,,,,,,,,,,,,,,3653.874758,,
